image_id,timestamp,sonar_ping_id,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,class,confidence,heading_deg,speed_m_s,latitude,longitude,depth_m
IMG-000013,2025-09-01T03:21:17.672261Z,PING-015317,0.2171,0.2481,0.375,0.4128,fish,0.78,282.9,2.34,24.993581,67.518245,266.66
IMG-000014,2025-08-31T05:23:05.012384Z,PING-003293,0.4408,0.3184,0.6141,0.3683,buoy,0.82,354.42,0.28,25.001971,66.740299,4.63
IMG-000015,2025-08-31T06:31:19.186923Z,PING-010740,0.1112,0.5307,0.25,0.6654,rock,0.79,89.17,1.8,24.906859,66.699571,118.04
IMG-000016,2025-09-03T21:31:30.591134Z,PING-006842,0.3972,0.1876,0.4799,0.3024,buoy,0.83,202.84,1.35,25.709003,66.982909,169.82
IMG-000017,2025-09-10T12:17:43.368174Z,PING-007634,0.4619,0.0744,0.5861,0.2573,rock,0.83,317.43,2.63,24.226031,67.320222,186.9
IMG-000018,2025-09-07T17:28:16.185703Z,PING-010453,0.5722,0.3446,0.6194,0.4087,buoy,0.91,190.0,1.55,24.717572,66.566268,337.28
IMG-000019,2025-09-03T12:09:20.628776Z,PING-000485,0.0854,0.4097,0.1896,0.4349,fish,0.7,173.68,1.99,24.045908,65.853873,140.64
IMG-000020,2025-09-13T03:00:17.400503Z,PING-017336,0.1172,0.3568,0.2053,0.4037,fish,0.85,246.52,0.59,24.26746,67.68145,2.3
IMG-000021,2025-08-29T22:54:22.784193Z,PING-018101,0.3169,0.2227,0.3689,0.3396,fish,0.95,16.21,1.71,24.628282,67.671001,320.0
IMG-000022,2025-09-03T12:48:53.626386Z,PING-015561,0.1575,0.484,0.2356,0.5576,mine_like_object,0.66,245.06,1.6,24.631689,66.983932,138.11
IMG-000023,2025-09-05T18:15:04.595200Z,PING-006007,0.4159,0.5051,0.6207,0.6394,rock,0.86,107.84,1.73,24.650814,67.107992,24.75
IMG-000024,2025-09-08T10:50:28.096474Z,PING-001273,0.0607,0.2996,0.2059,0.4132,fish,0.71,144.99,0.31,25.214486,66.475305,55.62
IMG-000025,2025-09-18T07:47:50.789314Z,PING-013944,0.2945,0.4004,0.4201,0.4833,fish,0.63,71.57,1.42,25.112135,66.2087,92.92
IMG-000026,2025-08-31T18:14:09.140737Z,PING-001839,0.2204,0.4709,0.3598,0.6474,rock,0.73,89.14,2.17,24.595158,66.751787,67.68
IMG-000027,2025-09-10T04:43:10.361751Z,PING-005849,0.2322,0.4788,0.2522,0.6666,buoy,0.8,2.29,2.46,24.775553,66.641992,29.56
IMG-000028,2025-09-12T13:00:33.259873Z,PING-011158,0.0698,0.3397,0.1248,0.382,rock,0.51,296.28,0.35,24.074174,66.961532,171.05
IMG-000029,2025-08-27T03:54:54.167153Z,PING-003687,0.3308,0.185,0.5001,0.2942,fish,0.78,209.98,0.49,24.784857,67.302498,47.41
IMG-000030,2025-09-12T23:54:10.953512Z,PING-013977,0.2253,0.1349,0.3939,0.1746,rock,0.47,221.17,3.09,24.802118,66.401157,256.17
IMG-000031,2025-08-30T21:14:53.225980Z,PING-002109,0.1309,0.1532,0.296,0.3293,buoy,0.77,7.72,1.4,25.010988,66.810895,37.84
IMG-000032,2025-08-27T17:18:28.426401Z,PING-011404,0.1744,0.2366,0.2571,0.2566,buoy,0.83,294.49,0.01,25.015696,66.134625,163.53
IMG-000033,2025-09-23T05:40:06.009944Z,PING-004511,0.0961,0.5714,0.1971,0.6915,fish,0.87,169.84,2.26,25.395473,67.750729,96.18
IMG-000034,2025-09-23T17:43:32.927112Z,PING-009836,0.0654,0.4358,0.2398,0.6026,wreck,0.66,136.24,0.78,24.636971,67.013938,37.32
IMG-000035,2025-09-19T00:31:00.623701Z,PING-019926,0.6112,0.0912,0.7465,0.1929,fish,0.74,217.76,0.95,25.420206,66.040435,327.98
IMG-000036,2025-09-03T21:47:33.587080Z,PING-005858,0.2544,0.5718,0.2744,0.6616,buoy,0.55,212.09,0.47,24.922202,66.548858,209.0
IMG-000037,2025-08-28T16:47:40.816888Z,PING-009964,0.5462,0.4931,0.625,0.5259,rock,0.94,354.83,2.16,25.126402,66.703011,221.09
IMG-000038,2025-09-15T07:07:06.702103Z,PING-000340,0.2046,0.4409,0.4079,0.6073,rock,0.68,159.61,1.07,25.194403,66.639169,237.51
IMG-000039,2025-09-07T23:22:49.961156Z,PING-019168,0.3516,0.0802,0.4495,0.1012,fish,0.54,337.2,0.46,24.143744,66.53212,337.68
IMG-000040,2025-08-29T10:20:17.802101Z,PING-007942,0.1556,0.249,0.2667,0.3845,rock,0.98,339.61,3.54,25.909386,67.054533,32.1
IMG-000041,2025-09-09T14:59:53.248391Z,PING-004630,0.0398,0.0888,0.2664,0.3192,mine_like_object,0.9,13.79,3.51,23.886106,66.591305,163.12
IMG-000042,2025-08-26T19:13:49.744114Z,PING-018316,0.0932,0.2078,0.2141,0.3196,submersible,0.68,176.79,0.91,25.530139,67.627265,107.59
IMG-000043,2025-09-22T01:10:53.179571Z,PING-014968,0.7343,0.1263,0.8137,0.2864,buoy,0.93,95.47,0.05,25.289508,66.958789,131.9
IMG-000044,2025-09-02T12:47:32.409690Z,PING-016035,0.1814,0.4108,0.2261,0.5538,fish,0.85,78.65,1.25,24.641938,66.85605,113.69
IMG-000045,2025-09-14T15:29:12.458429Z,PING-012062,0.3683,0.1732,0.5491,0.237,fish,0.99,148.99,0.01,24.71701,66.241932,129.2
IMG-000046,2025-09-04T02:54:09.806607Z,PING-000272,0.6114,0.1866,0.7059,0.2362,rock,0.81,280.8,0.99,25.124545,66.835477,28.3
IMG-000047,2025-09-10T08:55:11.008276Z,PING-007790,0.2307,0.2347,0.2624,0.42,rock,0.89,359.6,2.17,25.267124,66.541801,248.67
IMG-000048,2025-09-11T04:06:07.741441Z,PING-001130,0.3102,0.119,0.46,0.3213,buoy,0.97,88.35,2.51,24.563169,67.636314,112.77
IMG-000049,2025-08-31T07:33:57.446105Z,PING-001479,0.3333,0.1364,0.4357,0.2031,buoy,0.72,325.01,1.3,25.407636,67.266296,87.8
IMG-000050,2025-09-23T20:34:18.052549Z,PING-007936,0.371,0.1718,0.4005,0.3164,buoy,0.98,330.5,2.35,25.039728,67.382491,157.78
IMG-000051,2025-09-18T00:33:58.975535Z,PING-013583,0.3673,0.3744,0.3873,0.4142,rock,0.53,316.57,1.27,24.635163,66.117833,112.77
IMG-000052,2025-09-22T22:54:35.953917Z,PING-015379,0.098,0.2441,0.2609,0.3735,buoy,0.66,84.79,0.58,25.193499,67.280394,198.93
IMG-000053,2025-09-21T14:44:47.189691Z,PING-007003,0.2079,0.5237,0.2279,0.6621,buoy,0.65,270.04,1.48,25.1549,66.64097,164.82
IMG-000054,2025-09-12T16:57:31.442461Z,PING-014679,0.0446,0.5032,0.1143,0.5538,rock,0.71,316.83,2.82,24.880802,66.633116,232.89
IMG-000055,2025-09-22T10:13:12.714563Z,PING-005726,0.3234,0.1271,0.3938,0.1978,fish,0.88,112.65,0.38,25.161811,66.30473,316.79
IMG-000056,2025-08-28T10:11:07.262702Z,PING-011637,0.2276,0.3636,0.3047,0.4683,rock,0.73,354.04,0.18,24.920756,66.950342,239.0
IMG-000057,2025-08-31T15:34:42.276773Z,PING-003688,0.3292,0.4723,0.4812,0.5759,wreck,0.91,308.02,3.76,25.097681,67.430486,229.34
IMG-000058,2025-08-27T03:02:03.830239Z,PING-000021,0.3334,0.1013,0.3818,0.2169,fish,0.71,55.82,2.18,24.725386,66.357034,240.88
IMG-000059,2025-09-04T12:42:30.914721Z,PING-006427,0.0653,0.5275,0.1962,0.6845,rock,0.49,239.59,1.36,25.214478,66.698657,338.61
IMG-000060,2025-09-06T10:19:06.232258Z,PING-012819,0.3272,0.3973,0.5363,0.4903,fish,0.75,66.8,2.03,24.202802,66.741328,188.39
IMG-000061,2025-09-02T21:50:31.387741Z,PING-014589,0.3971,0.4178,0.4796,0.5387,buoy,0.61,280.76,1.32,24.594817,66.972694,7.4
IMG-000062,2025-09-19T15:09:42.321105Z,PING-003249,0.1638,0.1103,0.2562,0.229,rock,0.61,159.76,1.33,24.871492,65.47247,41.79
IMG-000063,2025-09-05T11:19:59.320173Z,PING-017210,0.2546,0.275,0.3638,0.314,fish,0.4,24.78,2.14,24.37508,67.768675,290.78
IMG-000064,2025-09-03T04:44:36.946493Z,PING-010721,0.196,0.1787,0.2198,0.2965,rock,0.86,206.54,2.95,24.77149,66.738035,295.49
IMG-000065,2025-09-11T01:12:42.944929Z,PING-003556,0.2355,0.2429,0.4364,0.4899,fish,0.86,74.53,2.11,25.313355,66.222454,239.21
IMG-000066,2025-08-29T23:56:10.288518Z,PING-009063,0.5947,0.3549,0.8144,0.4687,submersible,0.66,174.76,0.51,25.270994,66.960133,18.7
IMG-000067,2025-09-18T20:03:09.271497Z,PING-002201,0.2058,0.409,0.4056,0.4711,buoy,0.59,308.86,2.52,24.80169,66.521582,34.98
IMG-000068,2025-08-28T00:08:49.965801Z,PING-003944,0.052,0.0409,0.1042,0.1321,fish,0.78,92.7,1.0,24.665266,67.076238,167.34
IMG-000069,2025-09-24T09:01:45.637052Z,PING-015050,0.0492,0.1065,0.1344,0.2057,fish,0.45,177.3,2.47,24.709783,66.767185,229.66
IMG-000070,2025-09-17T22:29:13.139400Z,PING-012791,0.6144,0.467,0.6409,0.6235,buoy,0.8,253.56,1.92,24.147815,66.881601,250.19
IMG-000071,2025-08-31T17:32:45.743920Z,PING-016984,0.2196,0.4631,0.4154,0.553,fish,0.77,9.97,1.45,25.018081,67.170785,88.75
IMG-000072,2025-08-25T22:26:48.024967Z,PING-015992,0.5559,0.2793,0.6468,0.3653,fish,0.92,164.48,0.65,25.249238,66.992403,216.02
IMG-000073,2025-09-19T05:36:10.719938Z,PING-014955,0.5957,0.1752,0.6185,0.2434,fish,0.99,247.4,0.95,24.377845,66.919506,129.07
IMG-000074,2025-09-15T23:24:28.932636Z,PING-017266,0.4451,0.3855,0.4791,0.5671,rock,0.73,270.66,1.0,25.041897,66.484091,328.6
IMG-000075,2025-09-16T15:21:21.276945Z,PING-009700,0.2856,0.1538,0.3416,0.2355,rock,0.78,89.46,1.06,24.87564,67.568535,158.01
IMG-000076,2025-09-17T21:47:07.435993Z,PING-004194,0.1899,0.1526,0.2901,0.2659,buoy,0.8,60.76,1.75,24.824993,67.180994,135.58
IMG-000077,2025-08-27T23:46:58.434678Z,PING-000634,0.0675,0.3664,0.1846,0.4089,wreck,0.73,305.79,1.32,24.965038,66.696419,124.85
IMG-000078,2025-09-05T12:33:57.865770Z,PING-012914,0.0617,0.296,0.1358,0.3924,fish,0.54,326.55,2.06,24.663856,67.064023,250.25
IMG-000079,2025-08-29T05:53:47.299672Z,PING-016588,0.0901,0.349,0.1835,0.5913,rock,0.81,115.09,1.96,24.988731,66.416734,159.54
IMG-000080,2025-09-20T15:54:18.777253Z,PING-006934,0.313,0.5366,0.3838,0.5757,fish,0.73,23.22,2.96,25.039947,66.065484,167.09
IMG-000081,2025-09-13T11:14:43.442120Z,PING-006264,0.5646,0.6245,0.5974,0.7088,fish,0.76,261.95,1.74,25.251307,67.009784,264.84
IMG-000082,2025-09-04T16:43:02.377801Z,PING-007519,0.234,0.2303,0.2557,0.403,buoy,0.37,178.24,2.46,24.600095,67.243229,232.81
IMG-000083,2025-08-27T16:13:57.941324Z,PING-003788,0.1606,0.3268,0.1859,0.5019,rock,0.52,307.97,0.29,24.339463,66.783974,94.09
IMG-000084,2025-09-04T02:22:40.875270Z,PING-018530,0.1935,0.412,0.2882,0.4489,fish,0.83,322.83,1.95,24.966214,66.641156,104.05
IMG-000085,2025-09-04T12:36:09.868076Z,PING-005391,0.5708,0.2819,0.6706,0.4338,buoy,0.59,1.18,2.06,24.942576,67.508588,45.76
IMG-000086,2025-09-16T15:47:13.911635Z,PING-018984,0.039,0.4917,0.1592,0.6057,rock,0.75,335.64,1.78,24.529862,66.345546,160.1
IMG-000087,2025-09-13T21:30:43.663136Z,PING-008885,0.5831,0.3764,0.714,0.4185,buoy,0.99,10.29,1.03,25.190996,66.646622,399.18
IMG-000088,2025-09-21T09:15:50.126141Z,PING-002463,0.4617,0.2442,0.5891,0.4485,fish,0.9,308.18,1.89,25.159119,67.339065,109.02
IMG-000089,2025-09-08T22:27:55.783403Z,PING-011149,0.1942,0.3129,0.2617,0.3456,buoy,0.67,254.49,1.64,24.950581,66.594183,38.65
IMG-000090,2025-08-29T08:34:42.982855Z,PING-011046,0.233,0.6191,0.283,0.6391,wreck,0.77,28.41,1.74,24.542864,67.534617,377.19
IMG-000091,2025-09-16T04:00:25.185865Z,PING-006282,0.2717,0.5729,0.3603,0.6687,buoy,0.66,280.46,0.77,24.763049,66.523437,92.43
IMG-000092,2025-09-17T14:14:09.543398Z,PING-011581,0.4259,0.3126,0.4827,0.4031,rock,0.86,308.07,2.7,25.48356,66.076199,259.76
IMG-000093,2025-09-11T14:35:25.193483Z,PING-009126,0.2842,0.3985,0.3503,0.488,buoy,0.81,214.75,1.81,24.719449,66.745829,74.67
IMG-000094,2025-09-17T21:34:01.627825Z,PING-019866,0.1454,0.2596,0.1815,0.358,buoy,0.79,232.25,2.5,24.664912,67.164427,235.04
IMG-000095,2025-09-09T14:00:12.883160Z,PING-019531,0.1839,0.4422,0.2607,0.4887,fish,0.64,161.96,2.0,25.685862,66.395209,38.78
IMG-000096,2025-09-10T10:50:18.191141Z,PING-014641,0.1187,0.2538,0.2213,0.3203,rock,0.43,7.94,0.29,24.95828,66.309925,122.32
IMG-000097,2025-09-07T14:18:01.016968Z,PING-018017,0.3022,0.0708,0.4238,0.2579,rock,0.9,11.63,1.65,24.730062,67.072087,354.3
IMG-000098,2025-08-26T12:46:21.073904Z,PING-012746,0.3066,0.4726,0.3266,0.4926,wreck,0.39,10.17,0.83,25.327519,67.652382,186.74
IMG-000099,2025-08-29T00:09:09.276150Z,PING-006718,0.1995,0.4369,0.3494,0.5305,buoy,0.71,310.42,1.18,25.78282,67.572184,91.87
IMG-000100,2025-08-26T17:05:59.146683Z,PING-018569,0.3687,0.262,0.4542,0.2849,fish,0.84,113.24,0.16,25.385258,66.173542,185.26
IMG-000101,2025-09-13T20:41:10.483379Z,PING-014140,0.0989,0.2966,0.195,0.3211,mine_like_object,0.8,11.6,1.83,24.884845,67.407191,100.61
IMG-000102,2025-09-04T04:48:25.400333Z,PING-004818,0.2422,0.5939,0.3738,0.6443,rock,0.78,224.7,2.69,25.009057,66.829155,139.92
IMG-000103,2025-09-10T00:38:29.928882Z,PING-008981,0.2035,0.1052,0.3239,0.3225,fish,0.55,113.74,0.58,25.80995,66.942463,273.53
IMG-000104,2025-09-21T23:55:06.997799Z,PING-013992,0.2174,0.113,0.2848,0.1861,rock,0.85,165.68,1.84,24.52006,67.184332,157.99
IMG-000105,2025-09-02T05:57:40.155337Z,PING-002557,0.6265,0.4958,0.7929,0.6219,buoy,0.6,134.82,1.51,24.604339,66.931955,121.06
IMG-000106,2025-09-07T01:56:47.233891Z,PING-009361,0.1829,0.1473,0.2364,0.2475,fish,0.49,343.2,2.24,24.944334,67.264674,234.03
IMG-000107,2025-09-17T10:28:03.248487Z,PING-008801,0.417,0.0926,0.437,0.2022,buoy,0.85,167.41,1.56,25.637069,65.962897,78.16
IMG-000108,2025-09-01T15:12:19.542337Z,PING-000064,0.2628,0.4619,0.3731,0.544,fish,0.78,127.91,1.77,24.623725,66.348014,208.55
IMG-000109,2025-08-28T01:53:46.623659Z,PING-019735,0.1574,0.2042,0.2961,0.3689,fish,0.82,190.96,1.29,23.760083,67.934898,175.01
IMG-000110,2025-09-03T11:05:30.463335Z,PING-000903,0.3153,0.0629,0.3353,0.0904,fish,0.67,193.19,0.46,25.176355,67.250097,57.18
IMG-000111,2025-08-30T14:33:00.273945Z,PING-010375,0.199,0.6865,0.2844,0.8167,buoy,0.6,76.18,0.34,24.016821,66.907369,93.22
IMG-000112,2025-09-22T15:51:11.012255Z,PING-013576,0.3949,0.7097,0.4776,0.7572,rock,0.75,101.95,0.76,24.556181,67.038571,159.32
IMG-000113,2025-09-19T00:19:02.721214Z,PING-004968,0.4171,0.0565,0.5324,0.0765,fish,0.64,195.39,2.08,24.691778,67.0452,412.12
IMG-000114,2025-09-13T18:31:17.234258Z,PING-006899,0.4159,0.3491,0.4646,0.5664,buoy,0.82,72.04,2.43,24.419514,67.158641,309.73
IMG-000115,2025-09-20T21:55:20.547150Z,PING-010093,0.252,0.2613,0.3278,0.2995,fish,0.32,109.28,1.08,24.676658,67.435256,122.05
IMG-000116,2025-09-18T21:06:52.720706Z,PING-013297,0.4025,0.3792,0.4772,0.4248,fish,0.58,263.06,1.49,25.430038,66.149054,34.85
IMG-000117,2025-08-31T08:48:04.290016Z,PING-002180,0.1513,0.2722,0.2041,0.3033,buoy,0.79,349.27,1.2,25.710742,67.931762,69.55
IMG-000118,2025-09-21T13:06:47.621469Z,PING-008386,0.1605,0.1579,0.2404,0.4268,submersible,0.89,305.53,1.11,25.254176,66.771539,106.19
IMG-000119,2025-09-10T22:47:49.788428Z,PING-013706,0.1266,0.5177,0.266,0.6087,fish,0.85,150.93,0.02,25.006043,66.812283,340.15
IMG-000120,2025-09-18T23:49:39.579568Z,PING-004005,0.2613,0.3306,0.2813,0.4565,fish,0.64,178.38,1.32,24.42104,66.343655,40.81
IMG-000121,2025-09-21T15:39:23.346785Z,PING-000457,0.1494,0.6615,0.2177,0.6815,fish,0.6,31.4,1.46,24.568337,65.744407,30.88
IMG-000122,2025-09-04T07:25:59.704510Z,PING-001992,0.0239,0.1954,0.1233,0.2437,fish,0.54,13.31,1.46,25.503148,67.093886,31.29
IMG-000123,2025-08-29T01:42:29.285759Z,PING-008143,0.4265,0.1658,0.5777,0.2807,fish,0.74,58.99,2.44,24.941212,66.93755,11.16
IMG-000124,2025-09-01T14:35:02.638692Z,PING-018622,0.239,0.3328,0.2993,0.409,buoy,0.85,108.72,0.13,25.200467,66.611371,252.69
IMG-000125,2025-09-07T13:59:18.085502Z,PING-011708,0.4638,0.1832,0.5052,0.3797,fish,0.69,85.1,1.05,24.195026,66.910429,248.04
IMG-000126,2025-09-19T07:26:28.970654Z,PING-004048,0.0116,0.1738,0.1854,0.3804,fish,0.7,109.55,2.99,24.079608,66.690905,30.69
IMG-000127,2025-09-20T14:11:48.369183Z,PING-011070,0.345,0.1717,0.4294,0.1917,rock,0.76,140.65,1.86,24.425665,66.3288,85.02
IMG-000128,2025-08-25T23:28:34.619720Z,PING-002282,0.2306,0.176,0.3369,0.2602,fish,0.4,295.54,0.52,24.950002,67.222848,275.06
IMG-000129,2025-09-10T02:12:31.705664Z,PING-012619,0.3463,0.3194,0.3842,0.542,wreck,0.87,332.63,1.14,24.880217,66.570161,220.72
IMG-000130,2025-09-07T07:00:24.017545Z,PING-018566,0.3534,0.4471,0.4757,0.5271,rock,0.75,215.29,1.58,23.536086,67.171968,13.32
IMG-000131,2025-09-01T10:23:18.142123Z,PING-010864,0.1639,0.1751,0.1971,0.2735,fish,0.63,121.37,0.01,24.74743,66.259229,267.08
IMG-000132,2025-08-29T08:46:25.729512Z,PING-002556,0.1535,0.0888,0.1981,0.1932,rock,0.81,13.65,1.74,24.694272,66.864615,142.61
IMG-000133,2025-09-04T21:33:13.221661Z,PING-000689,0.2526,0.0491,0.5103,0.1732,fish,0.54,136.16,1.94,24.785832,68.231109,5.86
IMG-000134,2025-09-23T01:21:56.649924Z,PING-015275,0.6508,0.2931,0.7739,0.337,fish,0.74,231.46,3.68,24.644517,66.326545,160.63
IMG-000135,2025-09-04T11:10:36.697181Z,PING-004987,0.6075,0.6633,0.6746,0.8827,rock,0.98,79.74,2.18,24.771085,66.802728,188.65
IMG-000136,2025-09-10T07:59:59.988942Z,PING-014131,0.1499,0.3917,0.2069,0.5065,fish,0.95,351.45,0.32,23.771484,67.289421,279.67
IMG-000137,2025-09-15T20:38:39.838839Z,PING-018685,0.2567,0.2311,0.3489,0.3487,fish,0.56,118.51,1.52,24.735052,68.486517,101.79
IMG-000138,2025-09-05T16:17:02.626750Z,PING-004878,0.6161,0.2861,0.7226,0.3393,fish,0.77,114.75,2.32,24.992259,67.111824,137.97
IMG-000139,2025-09-23T22:09:13.855796Z,PING-015512,0.1158,0.3269,0.2635,0.4472,rock,0.92,58.95,2.81,25.024362,67.131109,167.25
IMG-000140,2025-09-23T15:25:58.085873Z,PING-008353,0.2747,0.3417,0.3087,0.5457,rock,0.91,289.54,2.19,25.179784,67.594675,94.56
IMG-000141,2025-09-02T07:45:14.408162Z,PING-018170,0.3358,0.1948,0.3768,0.3995,fish,0.85,13.14,2.41,25.836127,66.786919,104.14
IMG-000142,2025-09-09T16:29:22.824656Z,PING-009218,0.3683,0.2728,0.4167,0.3915,fish,0.46,57.57,1.08,25.044276,66.947693,166.42
IMG-000143,2025-09-03T19:06:11.276428Z,PING-005586,0.0642,0.3828,0.1861,0.5619,buoy,0.7,91.37,1.47,25.658308,67.633587,92.14
IMG-000144,2025-09-03T07:33:21.258809Z,PING-013015,0.2039,0.321,0.2673,0.3531,fish,0.43,248.77,0.77,24.323334,66.657791,177.63
IMG-000145,2025-08-26T21:01:45.664926Z,PING-009717,0.2997,0.1105,0.3618,0.1442,rock,0.82,301.11,1.47,24.208211,66.696976,397.95
IMG-000146,2025-09-13T01:21:25.451059Z,PING-011359,0.2601,0.0824,0.4253,0.1562,rock,0.72,25.32,1.72,24.499078,66.44556,153.0
IMG-000147,2025-09-09T20:23:58.725592Z,PING-003286,0.1586,0.3503,0.3257,0.4745,buoy,0.9,210.77,2.62,25.484345,67.190798,321.1
IMG-000148,2025-08-27T07:32:07.620623Z,PING-014516,0.3778,0.1556,0.5809,0.1756,buoy,0.32,323.4,3.08,24.392331,66.620654,252.65
IMG-000149,2025-09-03T03:05:46.332684Z,PING-005484,0.1984,0.2094,0.3124,0.3282,fish,0.82,122.86,2.56,25.218066,66.87623,93.37
IMG-000150,2025-09-22T00:25:19.873809Z,PING-015188,0.1157,0.155,0.206,0.2341,fish,0.87,123.38,1.49,24.804769,66.986803,148.96
IMG-000151,2025-09-01T22:57:19.117992Z,PING-011430,0.437,0.0461,0.5362,0.2513,submersible,0.99,172.72,1.61,24.449646,67.15086,32.16
IMG-000152,2025-08-30T02:47:42.205843Z,PING-007213,0.304,0.2156,0.3445,0.3119,buoy,0.96,129.68,1.89,25.489141,66.878333,67.81
IMG-000153,2025-09-09T10:52:36.252022Z,PING-018576,0.3419,0.1133,0.3885,0.137,rock,0.87,197.3,1.6,25.268667,66.742167,200.32
IMG-000154,2025-09-24T08:08:20.674438Z,PING-001011,0.5649,0.5556,0.5982,0.6113,fish,0.66,194.88,0.88,25.076792,67.225545,139.66
IMG-000155,2025-09-02T00:45:01.961141Z,PING-003062,0.3106,0.2428,0.4075,0.2677,rock,0.79,230.46,0.29,24.153235,66.227969,189.97
IMG-000156,2025-09-14T22:24:30.036259Z,PING-014679,0.1189,0.4772,0.2258,0.4972,fish,0.85,8.37,2.12,26.34636,67.249736,275.53
IMG-000157,2025-09-17T14:50:12.740315Z,PING-019247,0.3527,0.1424,0.5153,0.3668,mine_like_object,0.62,172.09,1.15,24.246273,66.439507,200.0
IMG-000158,2025-09-01T21:34:11.211411Z,PING-006553,0.12,0.2226,0.14,0.2563,fish,0.48,163.69,2.04,25.043262,66.646648,306.96
IMG-000159,2025-09-16T14:47:11.472985Z,PING-002789,0.442,0.2515,0.5985,0.2873,fish,0.74,1.29,0.1,25.307301,67.089856,175.38
IMG-000160,2025-09-05T19:16:28.577391Z,PING-011603,0.447,0.0952,0.5109,0.2449,buoy,0.75,57.72,2.74,24.508515,65.786025,20.08
IMG-000161,2025-09-13T17:43:51.410282Z,PING-002214,0.125,0.241,0.2245,0.2912,fish,0.69,202.96,0.98,24.962442,66.582694,251.66
IMG-000162,2025-09-13T18:36:43.707675Z,PING-004224,0.5922,0.0845,0.7192,0.4038,fish,0.7,80.17,3.07,25.082349,66.729872,213.92
IMG-000163,2025-09-10T20:13:42.678505Z,PING-012039,0.4618,0.1287,0.5445,0.2401,buoy,0.69,152.59,2.47,24.156754,67.014658,495.38
IMG-000164,2025-08-28T11:28:45.781364Z,PING-012052,0.5162,0.1379,0.5396,0.2802,fish,0.58,84.49,1.22,25.860028,66.671196,171.91
IMG-000165,2025-09-19T19:53:18.765950Z,PING-018425,0.5963,0.4016,0.6522,0.45,fish,0.97,317.21,1.88,25.900354,67.183327,289.25
IMG-000166,2025-09-04T09:25:56.625790Z,PING-018820,0.4872,0.4574,0.6096,0.5167,rock,0.5,157.28,0.78,24.914726,67.01426,78.44
IMG-000167,2025-08-31T08:45:50.676339Z,PING-005195,0.6556,0.5864,0.7642,0.6567,fish,0.71,26.6,0.01,24.295691,67.448559,216.1
IMG-000168,2025-08-26T23:49:43.864293Z,PING-006388,0.4767,0.344,0.5208,0.4935,mine_like_object,0.47,328.75,0.6,24.54599,67.804952,310.22
IMG-000169,2025-09-12T11:54:49.206127Z,PING-018257,0.4102,0.5155,0.7137,0.6426,fish,0.99,178.3,1.33,24.563617,66.766926,230.59
IMG-000170,2025-09-15T02:19:01.523278Z,PING-002560,0.1058,0.3179,0.2353,0.3608,rock,0.81,220.73,1.09,25.314896,66.36928,359.67
IMG-000171,2025-08-26T06:24:50.349964Z,PING-011365,0.2659,0.0709,0.3272,0.1972,fish,0.93,155.16,1.1,24.196506,66.201186,89.61
